#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19B40
#Date Time: 2018-04-03 10:52::58.188

Time (s),Channel 1 (V),Channel 2 (V)
-0.00079750000000000003,1.9135455318194248,1.1452272083925426
-0.00079500000000000003,1.9175210621577985,1.1422317887588582
-0.00079250000000000002,1.9271285938088685,1.129584461416635
-0.00079000000000000001,1.9271285938088685,1.1299172858203776
-0.00078750000000000001,1.9274598880037328,1.1302501102241205
-0.000785,1.9267972996140039,1.1299172858203776
-0.00078249999999999999,1.9267972996140039,1.1302501102241205
-0.00077999999999999999,1.9271285938088685,1.1302501102241205
-0.00077749999999999998,1.9271285938088685,1.1302501102241205
-0.00077499999999999997,1.9287850647831908,1.1285859882054068
-0.00077249999999999997,1.9330918893164291,1.1222623245342953
-0.00076999999999999996,1.9330918893164291,1.1222623245342953
-0.00076749999999999995,1.9330918893164291,1.1222623245342953
-0.00076499999999999995,1.9330918893164291,1.1225951489380381
-0.00076250000000000005,1.9334231835112934,1.1229279733417807
-0.00076000000000000004,1.9330918893164291,1.1225951489380381
-0.00075750000000000004,1.9334231835112934,1.1222623245342953
-0.00075500000000000003,1.9337544777061579,1.1222623245342953
-0.00075250000000000002,1.9344170660958868,1.1195997293043536
-0.00075000000000000002,1.9344170660958868,1.1199325537080964
-0.00074750000000000001,1.9344170660958868,1.119266904900611
-0.000745,1.9347483602907514,1.1195997293043536
-0.0007425,1.9347483602907514,1.1195997293043536
-0.00073999999999999999,1.9344170660958868,1.1199325537080964
-0.00073749999999999998,1.9350796544856159,1.1195997293043536
-0.00073499999999999998,1.9340857719010225,1.1195997293043536
-0.00073249999999999997,1.9324293009267,1.1205982025155818
-0.00072999999999999996,1.9324293009267,1.1212638513230673
-0.00072749999999999996,1.9327605951215645,1.1209310269193244
-0.00072499999999999995,1.9327605951215645,1.1209310269193244
-0.00072250000000000005,1.9320980067318356,1.120265378111839
-0.00072000000000000005,1.9320980067318356,1.1209310269193244
-0.00071750000000000004,1.9324293009267,1.1209310269193244
-0.00071500000000000003,1.9307728299523776,1.1215966757268099
-0.00071250000000000003,1.9274598880037328,1.124924919764237
-0.00071000000000000002,1.9271285938088685,1.1245920953604942
-0.00070750000000000001,1.9267972996140039,1.124924919764237
-0.00070500000000000001,1.9267972996140039,1.1245920953604942
-0.0007025,1.9274598880037328,1.1245920953604942
-0.00069999999999999999,1.9271285938088685,1.1242592709567516
-0.00069749999999999999,1.9271285938088685,1.124924919764237
-0.00069499999999999998,1.9254721228345459,1.1265890417829505
-0.00069249999999999997,1.9201714157167142,1.1332455298578048
-0.00068999999999999997,1.9201714157167142,1.1335783542615476
-0.00068749999999999996,1.9205027099115788,1.1332455298578048
-0.00068499999999999995,1.9205027099115788,1.1332455298578048
-0.00068249999999999995,1.9208340041064433,1.1332455298578048
-0.00068000000000000005,1.9205027099115788,1.1335783542615476
-0.00067750000000000004,1.9205027099115788,1.1329127054540622
-0.00067500000000000004,1.9185149447423919,1.1345768274727757
-0.00067250000000000003,1.9122203550399668,1.1405676667401445
-0.00067000000000000002,1.9118890608451025,1.1409004911438874
-0.00066750000000000002,1.9128829434296959,1.1405676667401445
-0.00066500000000000001,1.9118890608451025,1.1405676667401445
-0.0006625,1.9125516492348313,1.1405676667401445
-0.00066,1.9122203550399668,1.1405676667401445
-0.00065749999999999999,1.9122203550399668,1.1405676667401445
-0.00065499999999999998,1.9099012956759156,1.1422317887588582
-0.00065249999999999998,1.9039380001683548,1.1498867500449406
-0.00064999999999999997,1.9042692943632193,1.1502195744486832
-0.00064749999999999996,1.9042692943632193,1.1502195744486832
-0.00064499999999999996,1.9046005885580839,1.1502195744486832
-0.00064249999999999995,1.9042692943632193,1.1502195744486832
-0.00064000000000000005,1.9042692943632193,1.1502195744486832
-0.00063750000000000005,1.9039380001683548,1.1502195744486832
-0.00063500000000000004,1.9016189408043036,1.151550872063654
-0.00063250000000000003,1.8959869394916073,1.1582073601385083
-0.00063000000000000003,1.8959869394916073,1.1582073601385083
-0.00062750000000000002,1.8959869394916073,1.1582073601385083
-0.00062500000000000001,1.895655645296743,1.1582073601385083
-0.00062250000000000001,1.895655645296743,1.1585401845422512
-0.00062,1.895655645296743,1.1582073601385083
-0.00061749999999999999,1.8953243511018785,1.1578745357347657
-0.00061499999999999999,1.894330468517285,1.1595386577534792
-0.00061249999999999998,1.8890297613994533,1.1675264434433044
-0.00060999999999999997,1.8890297613994533,1.1675264434433044
-0.00060749999999999997,1.8890297613994533,1.167859267847047
-0.00060499999999999996,1.8890297613994533,1.1675264434433044
-0.00060249999999999995,1.8890297613994533,1.1671936190395615
-0.00059999999999999995,1.8890297613994533,1.167859267847047
-0.00059750000000000005,1.8896923497891824,1.1675264434433044
-0.00059500000000000004,1.8867107020354019,1.1688577410582752
-0.00059250000000000004,1.8817412891124348,1.1778439999593284
-0.00059000000000000003,1.8817412891124348,1.1775111755555858
-0.00058750000000000002,1.8820725833072993,1.177178351151843
-0.00058500000000000002,1.8817412891124348,1.177178351151843
-0.00058250000000000001,1.8820725833072993,1.1775111755555858
-0.00058,1.8817412891124348,1.177178351151843
-0.0005775,1.8820725833072993,1.1781768243630713
-0.00057499999999999999,1.8810787007227059,1.1788424731705567
-0.00057249999999999998,1.8774344645791967,1.1868302588603816
-0.00056999999999999998,1.877765758774061,1.186497434456639
-0.00056749999999999997,1.8780970529689256,1.186497434456639
-0.00056499999999999996,1.877765758774061,1.1861646100528962
-0.00056249999999999996,1.8774344645791967,1.1868302588603816
-0.00055999999999999995,1.8780970529689256,1.186497434456639
-0.00055750000000000005,1.877765758774061,1.186497434456639
-0.00055500000000000005,1.8767718761894676,1.1878287320716099
-0.00055250000000000004,1.8744528168254164,1.1964821665689205
-0.00055000000000000003,1.8747841110202808,1.1964821665689205
-0.00054750000000000003,1.8747841110202808,1.195816517761435
-0.00054500000000000002,1.8747841110202808,1.195816517761435
-0.00054250000000000001,1.8744528168254164,1.1964821665689205
-0.00054000000000000001,1.8751154052151453,1.195816517761435
-0.0005375,1.8744528168254164,1.195816517761435
-0.00053499999999999999,1.8744528168254164,1.1978134641838911
-0.00053249999999999999,1.8754466994100099,1.2081310206999154
-0.00052999999999999998,1.8754466994100099,1.208463845103658
-0.00052749999999999997,1.8754466994100099,1.208463845103658
-0.00052499999999999997,1.8751154052151453,1.2087966695074008
-0.00052249999999999996,1.8757779936048742,1.2087966695074008
-0.00051999999999999995,1.8754466994100099,1.2077981962961726
-0.00051749999999999995,1.8751154052151453,1.208463845103658
-0.00051500000000000005,1.8761092877997387,1.2101279671223717
-0.00051250000000000004,1.8784283471637901,1.2221096456571092
-0.00051000000000000004,1.8780970529689256,1.222442470060852
-0.00050750000000000003,1.877765758774061,1.2221096456571092
-0.00050500000000000002,1.8780970529689256,1.2221096456571092
-0.00050250000000000002,1.8784283471637901,1.2227752944645947
-0.00050000000000000001,1.8784283471637901,1.2227752944645947
-0.0004975,1.8780970529689256,1.222442470060852
-0.000495,1.8797535239432479,1.2244394164833083
-0.00049249999999999999,1.8847229368662151,1.2384180414405022
-0.00048999999999999998,1.8843916426713507,1.2377523926330167
-0.00048749999999999998,1.8840603484764862,1.2380852170367596
-0.00048500000000000003,1.8837290542816216,1.2384180414405022
-0.00048250000000000002,1.8837290542816216,1.2380852170367596
-0.00048000000000000001,1.8833977600867573,1.2374195682292741
-0.00047750000000000001,1.8830664658918927,1.2374195682292741
-0.000475,1.8850542310610796,1.2394165146517304
-0.00047249999999999999,1.8896923497891824,1.2553920860313805
-0.00046999999999999999,1.8893610555943179,1.2550592616276379
-0.00046749999999999998,1.888698467204589,1.2547264372238951
-0.00046500000000000003,1.8890297613994533,1.2543936128201525
-0.00046250000000000002,1.8880358788148599,1.2540607884164097
-0.00046000000000000001,1.8880358788148599,1.2540607884164097
-0.00045750000000000001,1.8877045846199956,1.2537279640126671
-0.000455,1.8896923497891824,1.2557249104351234
-0.00045249999999999999,1.8976434104659299,1.2703691841998028
-0.00044999999999999999,1.8969808220762008,1.2703691841998028
-0.00044749999999999998,1.8969808220762008,1.27003635979606
-0.00044499999999999997,1.8959869394916073,1.27003635979606
-0.00044250000000000002,1.895655645296743,1.2697035353923174
-0.00044000000000000002,1.895655645296743,1.2693707109885746
-0.00043750000000000001,1.8953243511018785,1.2693707109885746
-0.000435,1.8973121162710653,1.2710348330072883
-0.0004325,1.9042692943632193,1.2866775799831958
